root@surya--Legion-5:/workspace/HW2_Work/part3_plusY# python3 test.py   --stage 4   --variant A   --model models/stage4/variantA/run001/best/best_precision_model.zip   --success-distance 0.10   --episodes 5   --step-dt 0.05   --log-position-every 2
[pose] step=420 target_index=1/1 pos=(0.99, 0.89, 1.42) target=(0.56, 0.03, 1.45) distance=0.96
[pose] step=422 target_index=1/1 pos=(0.89, 0.91, 1.45) target=(0.56, 0.03, 1.45) distance=0.94
[pose] step=424 target_index=1/1 pos=(0.77, 0.92, 1.48) target=(0.56, 0.03, 1.45) distance=0.92
[pose] step=426 target_index=1/1 pos=(0.65, 0.93, 1.52) target=(0.56, 0.03, 1.45) distance=0.91
[pose] step=428 target_index=1/1 pos=(0.53, 0.94, 1.55) target=(0.56, 0.03, 1.45) distance=0.92
[pose] step=430 target_index=1/1 pos=(0.42, 0.94, 1.57) target=(0.56, 0.03, 1.45) distance=0.93
[pose] step=432 target_index=1/1 pos=(0.32, 0.92, 1.59) target=(0.56, 0.03, 1.45) distance=0.93
[pose] step=434 target_index=1/1 pos=(0.24, 0.89, 1.60) target=(0.56, 0.03, 1.45) distance=0.93
[pose] step=436 target_index=1/1 pos=(0.18, 0.84, 1.60) target=(0.56, 0.03, 1.45) distance=0.91
[pose] step=438 target_index=1/1 pos=(0.13, 0.77, 1.59) target=(0.56, 0.03, 1.45) distance=0.87
[pose] step=440 target_index=1/1 pos=(0.09, 0.68, 1.58) target=(0.56, 0.03, 1.45) distance=0.81
[pose] step=442 target_index=1/1 pos=(0.07, 0.57, 1.57) target=(0.56, 0.03, 1.45) distance=0.74
[pose] step=444 target_index=1/1 pos=(0.05, 0.45, 1.55) target=(0.56, 0.03, 1.45) distance=0.67
[pose] step=446 target_index=1/1 pos=(0.04, 0.34, 1.53) target=(0.56, 0.03, 1.45) distance=0.61
[pose] step=448 target_index=1/1 pos=(0.05, 0.23, 1.50) target=(0.56, 0.03, 1.45) distance=0.55
[pose] step=450 target_index=1/1 pos=(0.07, 0.14, 1.47) target=(0.56, 0.03, 1.45) distance=0.50
[pose] step=452 target_index=1/1 pos=(0.11, 0.06, 1.44) target=(0.56, 0.03, 1.45) distance=0.45
[pose] step=454 target_index=1/1 pos=(0.18, 0.01, 1.41) target=(0.56, 0.03, 1.45) distance=0.38
[pose] step=456 target_index=1/1 pos=(0.26, -0.03, 1.38) target=(0.56, 0.03, 1.45) distance=0.31
[pose] step=458 target_index=1/1 pos=(0.36, -0.05, 1.36) target=(0.56, 0.03, 1.45) distance=0.23
[pose] step=460 target_index=1/1 pos=(0.47, -0.07, 1.34) target=(0.56, 0.03, 1.45) distance=0.17
[pose] step=462 target_index=1/1 pos=(0.60, -0.08, 1.33) target=(0.56, 0.03, 1.45) distance=0.17
[pose] step=464 target_index=1/1 pos=(0.71, -0.09, 1.31) target=(0.56, 0.03, 1.45) distance=0.24
